Zip Code,year,Highest Offense Description
78741,2018,Other
78702,2018,Other
78741,2018,Other
78731,2018,Other
78724,2018,Other
78704,2018,Aggravated Assault
78727,2018,Other
78752,2018,Other
78753,2018,Other
78741,2018,Other
78723,2018,Robbery
78703,2018,Other
78727,2018,Other
78701,2018,Other
78753,2018,Other
78729,2018,Other
78741,2018,Aggravated Assault
78719,2018,Other
78759,2018,Theft
78746,2018,Theft
78753,2018,Other
78701,2018,Other
78745,2018,Other
78701,2018,Other
78745,2018,Other
78721,2018,Burglary
78721,2018,Aggravated Assault
78741,2018,Aggravated Assault
78747,2018,Other
78730,2018,Other
78741,2018,Other
78753,2018,Aggravated Assault
78759,2018,Other
78739,2018,Other
78701,2018,Other
78759,2018,Other
78745,2018,Other
78754,2018,Other
78701,2018,Aggravated Assault
78758,2018,Motor Vehicle Theft
78741,2018,Aggravated Assault
78745,2018,Other
78753,2018,Other
78750,2018,Other
78741,2018,Other
78723,2018,Sexual Assault
78744,2018,Burglary
78744,2018,Other
78753,2018,Other
78729,2018,Other
78758,2018,Other
78702,2018,Other
78750,2018,Other
78752,2018,Other
78751,2018,Aggravated Assault
78702,2018,Other
78750,2018,Other
78758,2018,Other
78758,2018,Other
78729,2018,Other
78746,2018,Other
78759,2018,Burglary
78741,2018,Other
78701,2018,Other
78723,2018,Theft
78758,2018,Other
78724,2018,Other
78756,2018,Other
78704,2018,Aggravated Assault
78757,2018,Burglary
78758,2018,Other
78748,2018,Aggravated Assault
78704,2018,Theft
78753,2018,Other
78758,2018,Other
78745,2018,Other
78745,2018,Other
78705,2018,Other
78745,2018,Theft
78759,2018,Burglary
78728,2018,Other
78702,2018,Robbery
78704,2018,Other
78721,2018,Theft
78704,2018,Other
78704,2018,Other
78750,2018,Theft
78741,2018,Other
78741,2018,Other
78748,2018,Other
78723,2018,Other
78741,2018,Burglary
78751,2018,Other
78745,2018,Other
78701,2018,Other
78753,2018,Other
78701,2018,Other
78758,2018,Aggravated Assault
78753,2018,Sexual Assault
78723,2018,Other
78717,2018,Theft
78759,2018,Other
78702,2018,Other
78702,2018,Other
78750,2018,Aggravated Assault
78704,2018,Theft
78701,2018,Aggravated Assault
78753,2018,Other
78717,2018,Other
78702,2018,Other
78744,2018,Burglary
78757,2018,Other
78741,2018,Aggravated Assault
78748,2018,Other
78701,2018,Other
78701,2018,Aggravated Assault
78717,2018,Other
78753,2018,Other
78751,2018,Other
78741,2018,Other
78745,2018,Other
78701,2018,Other
78704,2018,Aggravated Assault
78702,2018,Other
78723,2018,Other
78701,2018,Other
78705,2018,Aggravated Assault
78753,2018,Other
78758,2018,Aggravated Assault
78705,2018,Other
78741,2018,Other
78744,2018,Aggravated Assault
78745,2018,Other
78745,2018,Other
78752,2018,Burglary
78758,2018,Other
78723,2018,Aggravated Assault
78729,2018,Other
78729,2018,Other
78757,2018,Theft
78731,2018,Burglary
78702,2018,Other
78702,2018,Burglary
78758,2018,Aggravated Assault
78704,2018,Aggravated Assault
78701,2018,Other
78741,2018,Other
78753,2018,Other
78741,2018,Other
78745,2018,Other
78723,2018,Other
78748,2018,Other
78744,2018,Burglary
78741,2018,Other
78705,2018,Other
78748,2018,Other
78758,2018,Other
78703,2018,Theft
78751,2018,Theft
78704,2018,Other
78741,2018,Aggravated Assault
78704,2018,Other
78705,2018,Other
78701,2018,Other
78746,2018,Theft
78703,2018,Other
78745,2018,Other
78723,2018,Other
78741,2018,Motor Vehicle Theft
78741,2018,Robbery
78748,2018,Other
78727,2018,Theft
78753,2018,Other
78753,2018,Other
78753,2018,Other
78751,2018,Other
78751,2018,Other
78723,2018,Theft
78701,2018,Other
78746,2018,Other
78717,2018,Other
78724,2018,Other
78748,2018,Other
78758,2018,Other
78727,2018,Other
78741,2018,Theft
78753,2018,Other
78719,2018,Other
78704,2018,Other
78748,2018,Other
78744,2018,Aggravated Assault
78744,2018,Aggravated Assault
78752,2018,Other
78753,2018,Burglary
78758,2018,Other
78748,2018,Other
78751,2018,Aggravated Assault
78741,2018,Other
78757,2018,Other
78759,2018,Other
78745,2018,Aggravated Assault
78745,2018,Burglary
78745,2018,Other
78741,2018,Theft
78749,2018,Other
78701,2018,Other
78753,2018,Other
78702,2018,Other
78741,2018,Other
78719,2018,Theft
78702,2018,Other
78617,2018,Other
78722,2018,Aggravated Assault
78739,2018,Other
78748,2018,Other
78723,2018,Other
78753,2018,Theft
78754,2018,Other
78719,2018,Other
78704,2018,Burglary
78752,2018,Other
78753,2018,Other
78745,2018,Other
78741,2018,Other
78745,2018,Other
78723,2018,Aggravated Assault
78721,2018,Aggravated Assault
78723,2018,Burglary
78744,2018,Other
78746,2018,Burglary
78741,2018,Aggravated Assault
78748,2018,Theft
78759,2018,Burglary
78753,2018,Other
78753,2018,Other
78758,2018,Other
78741,2018,Other
78745,2018,Other
78704,2018,Burglary
78756,2018,Theft
78749,2018,Other
78745,2018,Sexual Assault
78724,2018,Other
78727,2018,Burglary
78701,2018,Other
78741,2018,Aggravated Assault
78748,2018,Other
78613,2018,Other
78721,2018,Other
78701,2018,Other
78704,2018,Other
78759,2018,Other
78748,2018,Other
78704,2018,Aggravated Assault
78753,2018,Other
78748,2018,Theft
78705,2018,Other
78704,2018,Aggravated Assault
78705,2018,Other
78753,2018,Other
78701,2018,Other
78705,2018,Other
78759,2018,Burglary
78727,2018,Burglary
78729,2018,Other
78746,2018,Theft
78705,2018,Other
78758,2018,Other
78723,2018,Other
78701,2018,Other
78741,2018,Other
78745,2018,Sexual Assault
78704,2018,Aggravated Assault
78748,2018,Aggravated Assault
78723,2018,Other
78701,2018,Robbery
78701,2018,Other
78727,2018,Motor Vehicle Theft
78704,2018,Other
78741,2018,Aggravated Assault
78704,2018,Other
78729,2018,Burglary
78741,2018,Other
78701,2018,Other
78748,2018,Other
78701,2018,Other
78702,2018,Other
78727,2018,Aggravated Assault
78758,2018,Other
78701,2018,Other
78752,2018,Other
78660,2018,Aggravated Assault
78758,2018,Other
78721,2018,Burglary
78704,2018,Other
78702,2018,Aggravated Assault
78753,2018,Other
78741,2018,Other
78745,2018,Other
78726,2018,Other
78758,2018,Aggravated Assault
78704,2018,Other
78744,2018,Burglary
78754,2018,Other
78704,2018,Other
78723,2018,Other
78752,2018,Aggravated Assault
78719,2018,Other
78758,2018,Burglary
78741,2018,Other
78753,2018,Other
78754,2018,Other
78745,2018,Aggravated Assault
78705,2018,Other
78741,2018,Other
78758,2018,Other
78723,2018,Other
78704,2018,Aggravated Assault
78731,2018,Other
78729,2018,Theft
78705,2018,Other
78704,2018,Sexual Assault
78701,2018,Other
78731,2018,Other
78704,2018,Sexual Assault
78741,2018,Other
78701,2018,Other
78744,2018,Other
78753,2018,Other
78724,2018,Aggravated Assault
78753,2018,Other
78723,2018,Other
78723,2018,Other
78753,2018,Other
78741,2018,Burglary
78735,2018,Other
78758,2018,Aggravated Assault
78745,2018,Aggravated Assault
78741,2018,Other
78748,2018,Burglary
78748,2018,Other
78724,2018,Aggravated Assault
78724,2018,Aggravated Assault
78704,2018,Theft
78701,2018,Other
78752,2018,Other
78751,2018,Aggravated Assault
78757,2018,Other
78702,2018,Other
78735,2018,Other
78757,2018,Burglary
78753,2018,Other
78724,2018,Other
78741,2018,Other
78741,2018,Other
78746,2018,Theft
78753,2018,Other
78660,2018,Theft
78758,2018,Other
78723,2018,Other
78727,2018,Aggravated Assault
78753,2018,Other
78748,2018,Other
78753,2018,Theft
78751,2018,Burglary
78741,2018,Other
78723,2018,Other
78745,2018,Other
78753,2018,Theft
78701,2018,Theft
78741,2018,Other
78729,2018,Aggravated Assault
78731,2018,Other
78747,2018,Aggravated Assault
78701,2018,Other
78723,2018,Theft
78703,2018,Other
78750,2018,Burglary
78702,2018,Other
78660,2018,Burglary
78758,2018,Other
78613,2018,Theft
78704,2018,Other
78731,2018,Burglary
78717,2018,Other
78701,2018,Other
78704,2018,Other
78735,2018,Burglary
78660,2018,Other
78751,2018,Other
78758,2018,Other
78744,2018,Other
78747,2018,Other
78753,2018,Aggravated Assault
78717,2018,Other
78753,2018,Aggravated Assault
78704,2018,Aggravated Assault
78744,2018,Other
78702,2018,Aggravated Assault
78731,2018,Other
78744,2018,Other
78746,2018,Burglary
78758,2018,Other
78742,2018,Aggravated Assault
78702,2018,Burglary
78753,2018,Aggravated Assault
78702,2018,Other
78741,2018,Aggravated Assault
78758,2018,Other
78721,2018,Aggravated Assault
78701,2018,Other
78751,2018,Sexual Assault
78724,2018,Theft
78754,2018,Other
78753,2018,Other
78741,2018,Motor Vehicle Theft
78752,2018,Theft
78745,2018,Theft
78704,2018,Other
78752,2018,Burglary
78753,2018,Other
78741,2018,Other
78726,2018,Theft
78758,2018,Other
78723,2018,Other
78721,2018,Other
78744,2018,Burglary
78757,2018,Theft
78744,2018,Other
78753,2018,Motor Vehicle Theft
78752,2018,Other
78751,2018,Burglary
78704,2018,Other
78758,2018,Other
78701,2018,Other
78724,2018,Burglary
78704,2018,Other
78744,2018,Motor Vehicle Theft
78758,2018,Other
78741,2018,Other
78748,2018,Other
78758,2018,Other
78758,2018,Other
78721,2018,Other
78753,2018,Theft
78741,2018,Aggravated Assault
78701,2018,Other
78753,2018,Other
78750,2018,Theft
78704,2018,Theft
78729,2018,Other
78724,2018,Other
78754,2018,Other
78723,2018,Theft
78719,2018,Aggravated Assault
78759,2018,Other
78741,2018,Other
78752,2018,Other
78717,2018,Burglary
78749,2018,Other
78750,2018,Theft
78758,2018,Motor Vehicle Theft
78727,2018,Other
78741,2018,Other
78717,2018,Other
78751,2018,Burglary
78758,2018,Other
78741,2018,Aggravated Assault
78758,2018,Other
78752,2018,Theft
78719,2018,Other
78717,2018,Other
78704,2018,Other
78753,2018,Burglary
78751,2018,Theft
78705,2018,Other
78753,2018,Burglary
78726,2018,Theft
78701,2018,Other
78701,2018,Other
78721,2018,Other
78704,2018,Other
78758,2018,Other
78701,2018,Other
78757,2018,Theft
78744,2018,Other
78701,2018,Other
78617,2018,Theft
78744,2018,Other
78730,2018,Other
78757,2018,Aggravated Assault
78723,2018,Sexual Assault
78758,2018,Other
78701,2018,Aggravated Assault
78749,2018,Other
78751,2018,Aggravated Assault
78704,2018,Other
78701,2018,Other
78702,2018,Motor Vehicle Theft
78702,2018,Aggravated Assault
78752,2018,Other
78741,2018,Other
78744,2018,Other
78758,2018,Aggravated Assault
78719,2018,Other
78701,2018,Other
78744,2018,Theft
78758,2018,Other
78701,2018,Aggravated Assault
78753,2018,Other
78702,2018,Other
78747,2018,Other
78753,2018,Other
78751,2018,Other
78736,2018,Other
78744,2018,Motor Vehicle Theft
78704,2018,Aggravated Assault
78724,2018,Sexual Assault
78752,2018,Theft
78704,2018,Other
78752,2018,Other
78753,2018,Motor Vehicle Theft
78729,2018,Other
78723,2018,Other
78724,2018,Other
78719,2018,Other
78731,2018,Burglary
78701,2018,Other
78727,2018,Other
78753,2018,Aggravated Assault
78702,2018,Other
78750,2018,Burglary
78741,2018,Other
78748,2018,Other
78753,2018,Other
78748,2018,Theft
78702,2018,Other
78705,2018,Other
78752,2018,Other
78745,2018,Other
78701,2018,Other
78759,2018,Aggravated Assault
78701,2018,Aggravated Assault
78741,2018,Other
78757,2018,Motor Vehicle Theft
78751,2018,Other
78752,2018,Other
78746,2018,Burglary
78744,2018,Theft
78757,2018,Other
78704,2018,Theft
78727,2018,Other
78753,2018,Other
78741,2018,Theft
78744,2018,Burglary
78747,2018,Theft
78756,2018,Aggravated Assault
78727,2018,Aggravated Assault
78702,2018,Robbery
78759,2018,Other
78704,2018,Other
78721,2018,Other
78754,2018,Other
78736,2018,Theft
78704,2018,Other
78751,2018,Burglary
78748,2018,Other
78744,2018,Burglary
78753,2018,Aggravated Assault
78701,2018,Other
78744,2018,Motor Vehicle Theft
78758,2018,Other
78758,2018,Theft
78726,2018,Burglary
78757,2018,Motor Vehicle Theft
78719,2018,Other
78701,2018,Theft
78729,2018,Other
78702,2018,Theft
78745,2018,Burglary
78744,2018,Sexual Assault
78758,2018,Burglary
78701,2018,Other
78745,2018,Other
78754,2018,Other
78724,2018,Aggravated Assault
78746,2018,Theft
78751,2018,Other
78729,2018,Other
78744,2018,Other
78748,2018,Other
78748,2018,Other
78752,2018,Aggravated Assault
78704,2018,Other
78704,2018,Other
78704,2018,Burglary
78745,2018,Other
78701,2018,Aggravated Assault
78757,2018,Other
78729,2018,Other
78744,2018,Aggravated Assault
78759,2018,Aggravated Assault
78701,2018,Other
78704,2018,Other
78751,2018,Aggravated Assault
78741,2018,Sexual Assault
78744,2018,Other
78723,2018,Other
78702,2018,Other
78756,2018,Robbery
78741,2018,Aggravated Assault
78745,2018,Burglary
78752,2018,Other
78735,2018,Theft
78719,2018,Other
78753,2018,Other
78702,2018,Other
78748,2018,Other
78723,2018,Other
78758,2018,Other
78704,2018,Other
78750,2018,Burglary
78704,2018,Theft
78757,2018,Other
78758,2018,Other
78748,2018,Other
78702,2018,Other
78749,2018,Other
78702,2018,Other
78752,2018,Other
78753,2018,Other
78701,2018,Other
78724,2018,Other
78721,2018,Other
78704,2018,Other
78753,2018,Theft
78723,2018,Aggravated Assault
78703,2018,Other
78719,2018,Other
78702,2018,Other
78729,2018,Other
78751,2018,Other
78757,2018,Other
78704,2018,Other
78723,2018,Other
78744,2018,Other
78723,2018,Motor Vehicle Theft
78729,2018,Other
78702,2018,Other
78753,2018,Other
78757,2018,Other
78702,2018,Burglary
78702,2018,Other
78701,2018,Other
78723,2018,Other
78724,2018,Other
78705,2018,Aggravated Assault
78757,2018,Other
78753,2018,Other
78701,2018,Other
78752,2018,Other
78758,2018,Other
78748,2018,Theft
78741,2018,Other
78723,2018,Other
78758,2018,Aggravated Assault
78704,2018,Other
78744,2018,Other
78745,2018,Other
78746,2018,Theft
78702,2018,Robbery
78753,2018,Other
78704,2018,Other
78752,2018,Other
78744,2018,Other
78701,2018,Other
78723,2018,Other
78745,2018,Other
78702,2018,Other
78702,2018,Other
78741,2018,Other
78758,2018,Other
78617,2018,Other
78741,2018,Other
78758,2018,Aggravated Assault
78757,2018,Theft
78701,2018,Aggravated Assault
78748,2018,Other
78704,2018,Other
78741,2018,Other
78701,2018,Other
78751,2018,Other
78727,2018,Other
78744,2018,Aggravated Assault
78748,2018,Other
78745,2018,Other
78741,2018,Other
78704,2018,Other
78759,2018,Burglary
78744,2018,Sexual Assault
78745,2018,Other
78745,2018,Other
78701,2018,Other
78701,2018,Other
78753,2018,Aggravated Assault
78751,2018,Theft
78753,2018,Other
78703,2018,Burglary
78613,2018,Other
78752,2018,Burglary
78705,2018,Other
78704,2018,Other
78701,2018,Other
78701,2018,Other
78741,2018,Theft
78754,2018,Burglary
78704,2018,Other
78744,2018,Other
78758,2018,Robbery
78729,2018,Other
78723,2018,Other
78744,2018,Aggravated Assault
78744,2018,Other
78752,2018,Other
78719,2018,Theft
78729,2018,Aggravated Assault
78701,2018,Other
78704,2018,Other
78704,2018,Aggravated Assault
78721,2018,Other
78748,2018,Other
78723,2018,Aggravated Assault
78723,2018,Other
78753,2018,Aggravated Assault
78701,2018,Other
78748,2018,Other
78719,2018,Other
78704,2018,Other
78704,2018,Other
78703,2018,Other
78741,2018,Other
78744,2018,Other
78727,2018,Other
78704,2018,Other
78735,2018,Other
78702,2018,Burglary
78617,2018,Other
78723,2018,Other
78748,2018,Other
78704,2018,Other
78753,2018,Other
78744,2018,Other
78745,2018,Other
78750,2018,Other
78741,2018,Other
78723,2018,Aggravated Assault
78703,2018,Other
78746,2018,Theft
78701,2018,Other
78758,2018,Theft
78701,2018,Other
78723,2018,Theft
78758,2018,Aggravated Assault
78702,2018,Other
78748,2018,Other
78719,2018,Theft
78727,2018,Aggravated Assault
78741,2018,Other
78704,2018,Aggravated Assault
78753,2018,Aggravated Assault
78759,2018,Aggravated Assault
78759,2018,Other
78726,2018,Aggravated Assault
78758,2018,Other
78722,2018,Motor Vehicle Theft
78744,2018,Theft
78741,2018,Burglary
78758,2018,Other
78701,2018,Aggravated Assault
78723,2018,Other
78753,2018,Other
78704,2018,Other
78723,2018,Aggravated Assault
78753,2018,Other
78702,2018,Aggravated Assault
78741,2018,Other
78741,2018,Other
78744,2018,Other
78701,2018,Other
78729,2018,Other
78751,2018,Other
78704,2018,Other
78705,2018,Other
78701,2018,Other
78741,2018,Other
78745,2018,Other
78701,2018,Other
78723,2018,Other
78759,2018,Other
78757,2018,Other
78701,2018,Other
78704,2018,Aggravated Assault
78702,2018,Other
78748,2018,Theft
78753,2018,Other
78744,2018,Sexual Assault
78701,2018,Other
78753,2018,Other
78753,2018,Other
78701,2018,Theft
78735,2018,Other
78729,2018,Burglary
78741,2018,Other
78723,2018,Other
78660,2018,Other
78749,2018,Other
78703,2018,Other
78744,2018,Motor Vehicle Theft
78753,2018,Other
78746,2018,Motor Vehicle Theft
78753,2018,Burglary
78613,2018,Theft
78745,2018,Other
78751,2018,Robbery
78758,2018,Other
78723,2018,Other
78727,2018,Aggravated Assault
78701,2018,Other
78744,2018,Other
78613,2018,Theft
78701,2018,Other
78741,2018,Aggravated Assault
78704,2018,Other
78702,2018,Aggravated Assault
78758,2018,Aggravated Assault
78724,2018,Other
78741,2018,Burglary
78739,2018,Aggravated Assault
78741,2018,Aggravated Assault
78704,2018,Theft
78741,2018,Other
78704,2018,Burglary
78758,2018,Other
78739,2018,Burglary
78759,2018,Burglary
78741,2018,Other
78758,2018,Other
78701,2018,Other
78730,2018,Burglary
78757,2018,Burglary
78756,2018,Other
78758,2018,Other
78701,2018,Aggravated Assault
78701,2018,Other
78701,2018,Other
78701,2018,Other
78757,2018,Other
78744,2018,Burglary
78741,2018,Other
78753,2018,Aggravated Assault
78704,2018,Other
78757,2018,Other
78745,2018,Other
78717,2018,Other
78753,2018,Other
78741,2018,Other
78757,2018,Other
78748,2018,Aggravated Assault
78746,2018,Theft
78746,2018,Burglary
78758,2018,Theft
78701,2018,Other
78752,2018,Other
78705,2018,Other
78753,2018,Other
78701,2018,Other
78745,2018,Aggravated Assault
78701,2018,Other
78729,2018,Other
78758,2018,Other
78701,2018,Other
78723,2018,Burglary
78741,2018,Other
78729,2018,Other
78723,2018,Theft
78704,2018,Theft
78745,2018,Other
78741,2018,Aggravated Assault
78724,2018,Other
78745,2018,Burglary
78745,2018,Other
78702,2018,Aggravated Assault
78701,2018,Other
78741,2018,Other
78748,2018,Other
78741,2018,Other
78741,2018,Burglary
78744,2018,Other
78702,2018,Other
78705,2018,Other
78753,2018,Other
78748,2018,Other
78753,2018,Other
78729,2018,Other
78758,2018,Theft
78704,2018,Other
78752,2018,Aggravated Assault
78617,2018,Other
78748,2018,Other
78704,2018,Other
78701,2018,Other
78744,2018,Other
78704,2018,Burglary
78758,2018,Other
78702,2018,Motor Vehicle Theft
78701,2018,Other
78744,2018,Other
78702,2018,Other
78703,2018,Aggravated Assault
78702,2018,Theft
78741,2018,Other
78741,2018,Aggravated Assault
78724,2018,Aggravated Assault
78704,2018,Other
78741,2018,Other
78723,2018,Aggravated Assault
78703,2018,Other
78704,2018,Other
78705,2018,Other
78704,2018,Burglary
78745,2018,Theft
78721,2018,Theft
78731,2018,Aggravated Assault
78704,2018,Burglary
78741,2018,Aggravated Assault
78748,2018,Other
78705,2018,Other
78704,2018,Other
78702,2018,Other
78723,2018,Burglary
78727,2018,Theft
78744,2018,Other
78729,2018,Other
78702,2018,Other
78753,2018,Aggravated Assault
78723,2018,Other
78723,2018,Other
78702,2018,Aggravated Assault
78705,2018,Other
78744,2018,Other
78704,2018,Other
78746,2018,Theft
78758,2018,Other
78741,2018,Burglary
78704,2018,Other
78701,2018,Other
78704,2018,Other
78741,2018,Burglary
78721,2018,Other
78748,2018,Other
78753,2018,Other
78705,2018,Other
78753,2018,Other
78704,2018,Burglary
78746,2018,Burglary
78727,2018,Other
78759,2018,Theft
78705,2018,Aggravated Assault
